ResetAfterDrinkSearch_branding_spend,ShoppingReset_spend,quarter_1,quarter_2,quarter_3,quarter_4,dutch_sports_event,dutch_hol_fest,weekend_clicks,week_purchases,ResetSearch_branding_spend_log,engagedSessions_reset,conversions_reset
0.3802,1.5527,0,0,0,1,0,1,0,0,1.37561251277303,4,0
0.9621,2.3625,0,0,1,0,0,0,0,0,1.6672350111603171,3,0
0.0756,1.1448,0,0,0,1,0,0,0,1,1.2817113209274507,8,0
0.939,2.5365,1,0,0,0,0,0,0,1,0.9120818871001004,9,2
3.292,2.8495,1,0,0,0,1,0,1,0,1.9083862811597747,6,0
1.0044,2.9268,0,0,0,1,0,0,0,0,1.0834309666724458,5,1
3.3033,4.0409,0,0,1,0,0,0,0,0,1.3037819395454264,10,0
0.4859,2.9258,0,0,0,1,0,0,1,0,1.4045516773907218,8,0
3.0455,2.0085,1,0,0,0,0,0,1,0,1.3840418260665968,5,1
1.0478,3.9947,0,0,0,1,0,0,0,1,1.588520664178712,8,2
4.3325,2.61,0,0,1,0,0,0,0,0,1.9273533168626378,10,0
4.8091,0.0,0,1,0,0,0,0,1,0,2.5732608747535717,9,0
2.1803,1.3492,1,0,0,0,0,0,0,0,1.6379670585480741,8,1
1.2294,3.15,0,0,1,0,0,0,1,0,1.0875513413086848,10,0
4.1153,4.1917,1,0,0,0,0,0,0,0,2.021494581724986,10,1
0.131,3.33,0,0,1,0,0,0,0,0,1.8236779447963285,11,0
3.3399,1.7573,0,0,0,1,0,0,0,1,1.227327937523516,6,0
2.9398,3.68,0,0,1,0,0,0,0,0,1.638569438940348,8,0
0.6331,1.8448,1,0,0,0,0,0,0,0,0.7114781372446687,9,0
3.1194,3.0762,1,0,0,0,0,0,0,0,1.4183016197548703,16,3
2.7505,1.7463,0,0,0,1,0,0,1,0,1.6257245619967815,6,0
0.0,1.5844,0,0,0,1,0,0,1,0,1.6813677999970862,4,0
2.2484,4.3222,0,0,0,1,0,0,0,1,1.2400539788968843,11,1
2.5977,1.7791,0,0,0,1,1,0,0,1,1.789757466557382,8,0
0.0,0.0,1,0,0,0,0,0,0,1,1.7768488564923008,4,0
1.8673,2.1263,1,0,0,0,0,0,1,0,2.0073814711434146,6,1
2.3343,2.3977,0,0,0,1,0,0,0,0,1.5125745270302204,12,0
1.5219,3.5511,1,0,0,0,0,0,0,1,1.3223956352696589,9,0
3.475,0.9612,0,0,0,1,0,0,0,0,1.661498912060559,7,1
0.2566,1.2935,0,0,1,0,1,0,0,1,1.948563767949443,6,0
3.7778,2.4501,1,0,0,0,0,0,1,0,1.66693293628121,4,0
2.3688,0.8951,1,0,0,0,0,0,0,1,1.0941690989707349,5,0
